Epoch 001 | Loss: 2.7808 | Train Acc: 0.2378 | Val Acc: 0.2131
Epoch 050 | Loss: 0.4701 | Train Acc: 0.8202 | Val Acc: 0.8286
Epoch 100 | Loss: 0.4073 | Train Acc: 0.8179 | Val Acc: 0.8119
Epoch 150 | Loss: 0.3972 | Train Acc: 0.8482 | Val Acc: 0.8536
Epoch 200 | Loss: 0.3987 | Train Acc: 0.8560 | Val Acc: 0.8536
Epoch 250 | Loss: 0.3654 | Train Acc: 0.8565 | Val Acc: 0.8536
Epoch 300 | Loss: 0.3451 | Train Acc: 0.8485 | Val Acc: 0.8369
Epoch 350 | Loss: 0.3791 | Train Acc: 0.8339 | Val Acc: 0.8405
Epoch 400 | Loss: 0.3595 | Train Acc: 0.8387 | Val Acc: 0.8357
Epoch 450 | Loss: 0.3532 | Train Acc: 0.8583 | Val Acc: 0.8548
Epoch 500 | Loss: 0.3317 | Train Acc: 0.8521 | Val Acc: 0.8464
Epoch 550 | Loss: 0.3559 | Train Acc: 0.8506 | Val Acc: 0.8369
Epoch 600 | Loss: 0.3359 | Train Acc: 0.8622 | Val Acc: 0.8607
Epoch 650 | Loss: 0.3460 | Train Acc: 0.8667 | Val Acc: 0.8619
Epoch 700 | Loss: 0.3237 | Train Acc: 0.8503 | Val Acc: 0.8405
Epoch 750 | Loss: 0.3436 | Train Acc: 0.8417 | Val Acc: 0.8369
Epoch 800 | Loss: 0.3270 | Train Acc: 0.8628 | Val Acc: 0.8607
Epoch 850 | Loss: 0.3252 | Train Acc: 0.8577 | Val Acc: 0.8512
Epoch 900 | Loss: 0.3265 | Train Acc: 0.8625 | Val Acc: 0.8571
Epoch 950 | Loss: 0.3199 | Train Acc: 0.8673 | Val Acc: 0.8560
Epoch 1000 | Loss: 0.3353 | Train Acc: 0.8667 | Val Acc: 0.8548
Epoch 1050 | Loss: 0.3311 | Train Acc: 0.8595 | Val Acc: 0.8524
Epoch 1100 | Loss: 0.3111 | Train Acc: 0.8628 | Val Acc: 0.8548
Epoch 1150 | Loss: 0.3372 | Train Acc: 0.8554 | Val Acc: 0.8476
Epoch 1200 | Loss: 0.3202 | Train Acc: 0.8527 | Val Acc: 0.8560
Early stopping at epoch 1203
Best epoch:  703
Combination 10/300: {'hidden1': 300, 'hidden2': 50, 'activation': 'tanh', 'lr': 0.001, 'alpha': 0.01, 'batch_size': 128}
Epoch 001 | Loss: 3.1177 | Train Acc: 0.2310 | Val Acc: 0.2298
Epoch 050 | Loss: 0.5125 | Train Acc: 0.8241 | Val Acc: 0.8321
Epoch 100 | Loss: 0.4291 | Train Acc: 0.8440 | Val Acc: 0.8512
Epoch 150 | Loss: 0.3885 | Train Acc: 0.8482 | Val Acc: 0.8524
Epoch 200 | Loss: 0.3650 | Train Acc: 0.8485 | Val Acc: 0.8560
Epoch 250 | Loss: 0.3596 | Train Acc: 0.8583 | Val Acc: 0.8595
Epoch 300 | Loss: 0.3410 | Train Acc: 0.8619 | Val Acc: 0.8619
Epoch 350 | Loss: 0.3282 | Train Acc: 0.8661 | Val Acc: 0.8655
Epoch 400 | Loss: 0.3260 | Train Acc: 0.8714 | Val Acc: 0.8655
Epoch 450 | Loss: 0.3235 | Train Acc: 0.8688 | Val Acc: 0.8571
Epoch 500 | Loss: 0.3172 | Train Acc: 0.8658 | Val Acc: 0.8690
Epoch 550 | Loss: 0.3166 | Train Acc: 0.8741 | Val Acc: 0.8726
Epoch 600 | Loss: 0.3016 | Train Acc: 0.8702 | Val Acc: 0.8667
Epoch 650 | Loss: 0.3047 | Train Acc: 0.8735 | Val Acc: 0.8690
Epoch 700 | Loss: 0.3002 | Train Acc: 0.8780 | Val Acc: 0.8714
Epoch 750 | Loss: 0.3062 | Train Acc: 0.8741 | Val Acc: 0.8774
Epoch 800 | Loss: 0.3053 | Train Acc: 0.8795 | Val Acc: 0.8798
Epoch 850 | Loss: 0.2935 | Train Acc: 0.8726 | Val Acc: 0.8679
Epoch 900 | Loss: 0.2923 | Train Acc: 0.8744 | Val Acc: 0.8762
Epoch 950 | Loss: 0.2945 | Train Acc: 0.8786 | Val Acc: 0.8833
Epoch 1000 | Loss: 0.2881 | Train Acc: 0.8810 | Val Acc: 0.8762
Epoch 1050 | Loss: 0.2938 | Train Acc: 0.8759 | Val Acc: 0.8786
Epoch 1100 | Loss: 0.2943 | Train Acc: 0.8792 | Val Acc: 0.8774
Epoch 1150 | Loss: 0.2884 | Train Acc: 0.8780 | Val Acc: 0.8726
Epoch 1200 | Loss: 0.2872 | Train Acc: 0.8688 | Val Acc: 0.8560
Epoch 1250 | Loss: 0.2863 | Train Acc: 0.8747 | Val Acc: 0.8690
Epoch 1300 | Loss: 0.2824 | Train Acc: 0.8777 | Val Acc: 0.8702
Early stopping at epoch 1310
Best epoch:  810
Combination 11/300: {'hidden1': 200, 'hidden2': 25, 'activation': 'relu', 'lr': 0.0001, 'alpha': 1e-05, 'batch_size': 128}
Epoch 001 | Loss: 3.3874 | Train Acc: 0.0676 | Val Acc: 0.0571
Epoch 050 | Loss: 1.6758 | Train Acc: 0.4506 | Val Acc: 0.4548
Epoch 100 | Loss: 1.1170 | Train Acc: 0.6068 | Val Acc: 0.5810
Epoch 150 | Loss: 0.8909 | Train Acc: 0.7372 | Val Acc: 0.7357
Epoch 200 | Loss: 0.7622 | Train Acc: 0.7622 | Val Acc: 0.7476
Epoch 250 | Loss: 0.6855 | Train Acc: 0.7949 | Val Acc: 0.7988
Epoch 300 | Loss: 0.6322 | Train Acc: 0.7869 | Val Acc: 0.7798
Epoch 350 | Loss: 0.6004 | Train Acc: 0.8027 | Val Acc: 0.8131
Epoch 400 | Loss: 0.5743 | Train Acc: 0.8018 | Val Acc: 0.8119
Epoch 450 | Loss: 0.5659 | Train Acc: 0.8060 | Val Acc: 0.8167
Epoch 500 | Loss: 0.5287 | Train Acc: 0.8101 | Val Acc: 0.8143
Epoch 550 | Loss: 0.5155 | Train Acc: 0.8176 | Val Acc: 0.8238
Epoch 600 | Loss: 0.5043 | Train Acc: 0.8229 | Val Acc: 0.8262
Epoch 650 | Loss: 0.4909 | Train Acc: 0.8280 | Val Acc: 0.8286
Epoch 700 | Loss: 0.4799 | Train Acc: 0.8310 | Val Acc: 0.8310
Epoch 750 | Loss: 0.4723 | Train Acc: 0.8333 | Val Acc: 0.8345
Epoch 800 | Loss: 0.4675 | Train Acc: 0.8336 | Val Acc: 0.8333
Epoch 850 | Loss: 0.4628 | Train Acc: 0.8342 | Val Acc: 0.8333
Epoch 900 | Loss: 0.4484 | Train Acc: 0.8330 | Val Acc: 0.8310
Epoch 950 | Loss: 0.4391 | Train Acc: 0.8351 | Val Acc: 0.8333
Epoch 1000 | Loss: 0.4351 | Train Acc: 0.8354 | Val Acc: 0.8345
Epoch 1050 | Loss: 0.4300 | Train Acc: 0.8393 | Val Acc: 0.8369
Epoch 1100 | Loss: 0.4249 | Train Acc: 0.8402 | Val Acc: 0.8345
Epoch 1150 | Loss: 0.4240 | Train Acc: 0.8381 | Val Acc: 0.8357
